DATE-YMD,OTHR= CMEMS Mixed Layer Depth (m),
1993-01-15,      11.027,
1993-02-15,      10.044,
1993-03-15,       8.545,
1993-04-15,       8.505,
1993-05-15,       8.568,
1993-06-15,       8.541,
1993-07-15,       8.900,
1993-08-15,       9.286,
1993-09-15,       8.621,
1993-10-15,       8.554,
1993-11-15,       8.963,
1993-12-15,      11.274,
1994-01-15,      11.480,
1994-02-15,      10.421,
1994-03-15,       9.533,
1994-04-15,       8.451,
1994-05-15,       8.590,
1994-06-15,       9.048,
1994-07-15,       8.604,
1994-08-15,       8.406,
1994-09-15,       8.482,
1994-10-15,       8.590,
1994-11-15,       8.666,
1994-12-15,      10.044,
1995-01-15,      11.395,
1995-02-15,      10.085,
1995-03-15,       9.048,
1995-04-15,       8.671,
1995-05-15,       8.505,
1995-06-15,       8.559,
1995-07-15,       8.473,
1995-08-15,       8.464,
1995-09-15,       8.559,
1995-10-15,       8.370,
1995-11-15,       9.025,
1995-12-15,       9.963,
1996-01-15,      10.776,
1996-02-15,      10.206,
1996-03-15,       8.850,
1996-04-15,       8.689,
1996-05-15,       8.491,
1996-06-15,       8.805,
1996-07-15,       8.801,
1996-08-15,       8.599,
1996-09-15,       8.626,
1996-10-15,       8.850,
1996-11-15,       9.770,
1996-12-15,      10.497,
1997-01-15,      10.928,
1997-02-15,       9.622,
1997-03-15,       9.384,
1997-04-15,       8.666,
1997-05-15,       8.586,
1997-06-15,       8.500,
1997-07-15,       8.801,
1997-08-15,       8.289,
1997-09-15,       8.464,
1997-10-15,       8.491,
1997-11-15,       9.470,
1997-12-15,      10.219,
1998-01-15,      10.300,
1998-02-15,       8.518,
1998-03-15,       8.662,
1998-04-15,       8.770,
1998-05-15,       8.689,
1998-06-15,       8.608,
1998-07-15,       8.684,
1998-08-15,       8.334,
1998-09-15,       8.487,
1998-10-15,       8.689,
1998-11-15,       9.959,
1998-12-15,      10.147,
1999-01-15,      11.144,
1999-02-15,      10.973,
1999-03-15,       9.102,
1999-04-15,       8.613,
1999-05-15,       8.770,
1999-06-15,       8.998,
1999-07-15,       9.043,
1999-08-15,       8.945,
1999-09-15,       9.039,
1999-10-15,       8.788,
1999-11-15,       9.196,
1999-12-15,      11.265,
2000-01-15,      11.786,
2000-02-15,      10.740,
2000-03-15,       8.518,
2000-04-15,       8.877,
2000-05-15,       8.581,
2000-06-15,       8.900,
2000-07-15,       9.806,
2000-08-15,       8.563,
2000-09-15,       8.954,
2000-10-15,       8.752,
2000-11-15,       9.555,
2000-12-15,      10.273,
2001-01-15,      10.444,
2001-02-15,      10.040,
2001-03-15,       9.178,
2001-04-15,       8.761,
2001-05-15,       8.653,
2001-06-15,       9.039,
2001-07-15,       8.918,
2001-08-15,       8.617,
2001-09-15,       8.545,
2001-10-15,       8.729,
2001-11-15,      10.327,
2001-12-15,       9.492,
2002-01-15,      10.708,
2002-02-15,       9.389,
2002-03-15,       9.093,
2002-04-15,       8.832,
2002-05-15,       8.621,
2002-06-15,       8.630,
2002-07-15,       8.958,
2002-08-15,       8.572,
2002-09-15,       8.536,
2002-10-15,       8.675,
2002-11-15,       9.654,
2002-12-15,       9.636,
2003-01-15,      11.238,
2003-02-15,      10.506,
2003-03-15,       8.819,
2003-04-15,       8.630,
2003-05-15,       8.720,
2003-06-15,       8.711,
2003-07-15,       8.756,
2003-08-15,       8.662,
2003-09-15,       8.393,
2003-10-15,       8.630,
2003-11-15,       9.402,
2003-12-15,      11.830,
2004-01-15,      11.575,
2004-02-15,       9.407,
2004-03-15,       9.384,
2004-04-15,       8.783,
2004-05-15,       8.599,
2004-06-15,       8.586,
2004-07-15,       8.406,
2004-08-15,       8.330,
2004-09-15,       8.518,
2004-10-15,       8.783,
2004-11-15,       9.030,
2004-12-15,      11.350,
2005-01-15,      11.602,
2005-02-15,      10.094,
2005-03-15,       8.303,
2005-04-15,       8.832,
2005-05-15,       9.052,
2005-06-15,       8.581,
2005-07-15,       8.945,
2005-08-15,       8.559,
2005-09-15,       8.581,
2005-10-15,       8.707,
2005-11-15,      10.753,
2005-12-15,      10.120,
2006-01-15,      11.144,
2006-02-15,       9.586,
2006-03-15,       9.191,
2006-04-15,       8.568,
2006-05-15,       8.536,
2006-06-15,       9.147,
2006-07-15,       9.290,
2006-08-15,       8.621,
2006-09-15,       8.653,
2006-10-15,       8.635,
2006-11-15,       9.420,
2006-12-15,      10.937,
2007-01-15,       9.986,
2007-02-15,      10.260,
2007-03-15,      10.403,
2007-04-15,       8.994,
2007-05-15,       8.671,
2007-06-15,       8.617,
2007-07-15,       8.595,
2007-08-15,       8.765,
2007-09-15,       8.384,
2007-10-15,       8.805,
2007-11-15,       9.304,
2007-12-15,      10.857,
2008-01-15,      11.588,
2008-02-15,       8.963,
2008-03-15,       8.536,
2008-04-15,       8.527,
2008-05-15,       8.514,
2008-06-15,       8.684,
2008-07-15,       8.675,
2008-08-15,       8.487,
2008-09-15,       8.433,
2008-10-15,       9.290,
2008-11-15,       8.949,
2008-12-15,      10.762,
2009-01-15,      10.731,
2009-02-15,       9.793,
2009-03-15,       8.918,
2009-04-15,       8.891,
2009-05-15,       8.792,
2009-06-15,       8.393,
2009-07-15,       8.716,
2009-08-15,       9.636,
2009-09-15,       9.196,
2009-10-15,       9.066,
2009-11-15,       9.196,
2009-12-15,       9.766,
2010-01-15,      10.089,
2010-02-15,       8.639,
2010-03-15,       8.752,
2010-04-15,       8.604,
2010-05-15,       8.743,
2010-06-15,       9.281,
2010-07-15,       9.003,
2010-08-15,       8.931,
2010-09-15,       8.509,
2010-10-15,       8.675,
2010-11-15,       9.142,
2010-12-15,       9.627,
2011-01-15,      10.340,
2011-02-15,      11.902,
2011-03-15,      10.120,
2011-04-15,       8.702,
2011-05-15,       8.541,
2011-06-15,       8.725,
2011-07-15,       8.639,
2011-08-15,       9.039,
2011-09-15,       8.904,
2011-10-15,       8.595,
2011-11-15,      10.529,
2011-12-15,      13.078,
2012-01-15,      11.260,
2012-02-15,      12.086,
2012-03-15,       9.564,
2012-04-15,       8.675,
2012-05-15,       8.442,
2012-06-15,       8.590,
2012-07-15,       8.599,
2012-08-15,       8.379,
2012-09-15,       8.460,
2012-10-15,       9.025,
2012-11-15,       9.174,
2012-12-15,      10.821,
2013-01-15,      11.184,
2013-02-15,       9.739,
