SampleId,SiteNumber,SiteLocation,SampleDate,PSP,PotentialDirectToxicity,DSP,ASP,SampleMethod
,38,FOWEY,2001-04-02,0,,0,0,
,47,Camel,2001-03-27,0,,0,0,
,52,Conwy,2001-03-28,0,,0,0,
,57,SWALE,2001-04-02,0,,0,0,
,60a,Keyhaven River,2001-03-29,0,,0,0,
,26,CHICH HARBOUR - MILL RYTHE,2001-07-16,0,,0,0,
,61,ST IVES BAY CARRACK GLADDEN,2001-04-07,0,,0,0,
,9,Weymouth Fleet Lagoon,2001-04-23,0,,0,0,
,12,Fal Turnaware Pontoon,2001-04-17,0,,0,0,
,19,Milford Mt Pleasant Spit,2001-04-23,0,,0,0,
,21,BUTLEY,2001-04-25,0,,0,0,
,27,"Southampton,Hamble",2001-04-23,0,,0,0,
,27,"Southampton,Ryde Middle",2001-04-23,0,,0,0,
,27,Southampton Ryde Pier,2001-04-23,0,,0,0,
,35,PortsmouthLangstone Harbour main,2001-04-23,0,,0,0,
,38,FOWEY,2001-04-25,0,,0,0,
,48,LIVERPOOL BAY,2001-04-18,0,,0,0,
,12,Fal Turnaware Pontoon,2001-04-30,0,,0,0,
,27,"Southampton""21""",2001-04-26,0,,0,0,
,36,MEDINA,2001-04-26,0,,0,0,
,37,BRIXHAM,2001-05-02,0,,0,0,
,57,SWALE,2001-05-02,0,,0,0,
,19,"Milford Haven,Mt Pleasant Spit.",2001-05-08,0,,0,0,
,21,BUTLEY,2001-05-09,0,,0,0,
,35,PORTSMOUTH,2001-05-08,0,,0,0,
,36,MEDINA,2001-05-09,0,,0,0,
,38,FOWEY,2001-05-07,0,,0,0,
,40,"Taw/Torridge,Yelland.",2001-05-08,0,,0,0,
,57,"Swale,Phoenix.",2001-05-09,0,,0,0,
,9,"Weymouth,Inner Harbour",2001-05-16,0,,0,0,
,17,AVON,2001-05-15,0,,0,0,
,34,NORTH KENT COAST,2001-05-10,0,,0,0,
,37,BRIXHAM,2001-05-16,0,,0,0,
,48,LIVERPOOL BAY,2001-05-14,0,,0,0,
,61,"St Ives Bay,Carrack Gladden",2001-05-15,0,,0,0,
,61,"St Ives Bay,Godrevy Cove",2001-05-15,0,,0,0,
,9,"Weymouth,Fleet Lagoon",2001-05-17,0,,0,0,
,12,"Fal,Turnaware pontoon",2001-05-21,0,,0,0,
,18,BLYTH,2001-05-21,0,,0,0,
,19,"Milford,Mt.Pleasant spit",2001-05-23,0,,0,0,
,24,CROUCH,2001-05-17,0,,0,0,
,26,CHICHESTER HARBOUR,2001-05-21,0,,0,0,
,36,MEDINA,2001-05-21,0,,0,0,
,38,FOWEY,2001-05-23,0,,0,0,
,9,"Weymouth,Fleet Lagoon",2001-05-23,0,,0,0,
,9,"Weymouth,Inner Harbour",2001-05-23,0,,0,0,
