SampleNumber,ProductionArea,BedID,LocalAuthority,GridReference,SamplingPoint,SampleCollectionMethod,DateSampleCollected,DateSampleArrivedAtLowestoft,DateOfAnalysisAndResultsReported,PSP-Alexandrium_spp.CellsL-1,DSP-DinophysiaceaeCellsL-1,DSP-ProrocentrumLimaCellsL-1,ASP-Pseudo-nitzschia_spp.CellsL-1,YessotoxinLingulodiniumPolyedrumCellsL-1,YessotoxinProtoceratiumReticulatumCellsL-1,VenerupinProrocentrumCordatumCellsL-1,ActionRequired
Jan-19,West Mersea,B013Z,Colchester BC,TM00001301,The Hard,TUBE,2019-01-02,2019-01-03,2019-01-04,ND,ND,ND,ND,ND,ND,ND,
Mar-19,Swansea,B037U,Swansea PHA,SS67659210,Queens Dock,POLE,2019-01-02,2019-01-03,2019-01-04,ND,ND,ND,ND,ND,ND,ND,
Apr-19,Roach,B73AF,London PHA,TQ94909207,Paglesham,SURFACE,2019-01-03,2019-01-04,2019-01-07,ND,ND,ND,ND,ND,ND,ND,
May-19,Anglesey - Red Wharf Bay,B057J,Ynys Mon CC,SH53148022,Nodwydd,POLE,2019-01-03,2019-01-07,2019-01-08,ND,ND,ND,320,ND,ND,ND,
Jun-19,North Kent Coast,B17BS,Canterbury CC,TR10326689,WOCO Westbeach,POLE,2019-01-07,2019-01-08,2019-01-09,ND,ND,ND,ND,ND,ND,ND,
Jul-19,The Thames,B16BS,London PHA,TQ88148489,West of Southend Pier,SURFACE,2019-01-07,2019-01-08,2019-01-09,ND,ND,ND,ND,ND,ND,ND,
Aug-19,Solent,B24BK,Southampton PHA,SZ57479794,Browndown,POLE,2019-01-07,2019-01-08,2019-01-09,ND,ND,ND,ND,ND,ND,ND,
Sep-19,Southampton Water,B021Y,Southampton PHA,SU48760530,Hamble Estuary,POLE,2019-01-07,2019-01-08,2019-01-09,ND,ND,ND,ND,ND,ND,ND,
Oct-19,Deben,B010O,Suffolk Coastal DC,TM28834500,Stonner Point,POLE,2019-01-07,2019-01-08,2019-01-09,ND,ND,ND,ND,ND,ND,ND,
Nov-19,Burry Inlet,B038D,Carmarthenshire CC,SS50209860,Machynys,SURFACE,2019-01-08,2019-01-09,2019-01-10,ND,ND,ND,ND,ND,ND,ND,
Dec-19,Helford,B034W,Cornwall PHA,SW75462765,Porth Navas Quay,SURFACE,2019-01-08,2019-01-09,2019-01-10,ND,ND,ND,160,ND,ND,ND,
13/19,Poole,B54CL,Poole BC,SZ01818871,West Brownsea 1,POLE,2019-01-08,2019-01-09,2019-01-10,ND,ND,ND,160,ND,ND,ND,
14/19,Langstone Harbour,B019I,Portsmouth PHA,SU70560339,Stoke Common Lake,POLE,2019-01-08,2019-01-09,2019-01-10,ND,ND,ND,ND,ND,ND,ND,
15/19,Butley,B009E,Suffolk Coastal DC,TM39434850,Pumping Station Outfall,POLE,2019-01-08,2019-01-09,2019-01-10,ND,ND,ND,ND,ND,ND,ND,
16/19,The Fleet,B25AI,Weymouth PHA,SY66477627,Fleet Oysters,POLE,2019-01-08,2019-01-09,2019-01-10,ND,40,ND,1400,ND,ND,ND,
17/19,Morecambe Bay - Barrow,B077Q,Barrow-in-Furness BC,SD23116464,Roa Island,POLE,2019-01-09,2019-01-10,2019-01-11,ND,ND,ND,ND,ND,ND,ND,
18/19,Yealm,B031J,Plymouth PHA,SX54224904,Thorn,POLE,2019-01-09,2019-01-10,2019-01-11,ND,ND,ND,ND,ND,ND,ND,
19/19,Portsmouth Harbour,B020H,Portsmouth PHA,SU62850544,Paulsgrove,POLE,2019-01-09,2019-01-10,2019-01-11,ND,ND,ND,ND,ND,ND,ND,
20/19,Exe,B26BH,Teignbridge DC,SX97948072,Cockwood Harbour,POLE,2019-01-09,2019-01-10,2019-01-11,ND,ND,ND,1360,ND,ND,ND,
21/19,Teign,B27AC,Teignbridge DC,SX92827284,Gas Works East,POLE,2019-01-09,2019-01-10,2019-01-11,ND,ND,ND,480,ND,ND,ND,
22/19,Porlock,B094D,West Somerset Council,SS87114787,Porlock East,POLE,2019-01-09,2019-01-10,2019-01-11,ND,ND,ND,ND,ND,ND,ND,
23/19,Menai Strait East,B055S,Gwynedd CC,SH58337328,West of Bangor Pier,SURFACE,2019-01-13,2019-01-15,2019-01-16,ND,ND,ND,ND,ND,ND,ND,
24/19,Menai Strait West,B042O,Gwynedd CC,SH49916579,Area 11 East,SURFACE,2019-01-14,2019-01-15,2019-01-16,ND,ND,ND,200,ND,ND,ND,
25/19,Brancaster,B005F,Kings Lynn & W Norfolk BC,TF79364451,Loose J,SURFACE,2019-01-14,2019-01-15,2019-01-16,ND,ND,ND,ND,ND,ND,ND,
26/19,Swale,B076P,Swale BC,TR01316497,The Causeway,SURFACE,2019-01-14,2019-01-15,2019-01-16,ND,ND,ND,ND,ND,ND,ND,
27/19,Fal,B033E,Cornwall PHA,SW85134212,Grimes Bar,POLE,2019-01-15,2019-01-16,2019-01-17,ND,ND,ND,600,ND,ND,ND,
28/19,Fal,B33BG,Cornwall PHA,SW82803517,Mylor Pool,POLE,2019-01-15,2019-01-16,2019-01-17,ND,ND,ND,1120,ND,ND,ND,
29/19,Fal,B33BD,Cornwall PHA,SW84093949,Trelissick Pontoon,POLE,2019-01-15,2019-01-16,2019-01-17,ND,ND,ND,280,ND,ND,ND,
30/19,Fowey,B70AB,Cornwall PHA,SX13025157,Pont Pill,POLE,2019-01-14,2019-01-16,2019-01-17,ND,ND,ND,4240,ND,ND,ND,
31/19,Lantivet Bay,B70AI,Cornwall PHA,SX16305094,Sandheap Point,POLE,2019-01-14,2019-01-16,2019-01-17,ND,ND,ND,4320,ND,ND,80,
32/19,St Austell Bay,B70AE,Cornwall PHA,SX05744972,Ropehaven Outer,POLE,2019-01-14,2019-01-16,2019-01-17,ND,ND,ND,5520,ND,ND,ND,
33/19,Brixham,B082B,Torbay BC,SX90965741,Fishcombe SW Corner,POLE,2019-01-15,2019-01-16,2019-01-17,ND,ND,ND,21240,ND,ND,ND,
34/19,Lyme Bay,B090M,Torbay BC,UNVERIFIED,Site 1,TUBE,2019-01-14,2019-01-16,2019-01-17,ND,ND,ND,2520,ND,ND,ND,
35/19,Taw/Torridge,B36AB,Torridge DC,SS46573142,Spratt Ridge East,POLE,2019-01-14,2019-01-16,2019-01-17,ND,ND,ND,160,ND,ND,ND,
36/19,Beaulieu,B023I,New Forest DC,SU40280013,Landing Stage,POLE,2019-01-16,2019-01-17,2019-01-18,ND,ND,ND,ND,ND,ND,40,
37/19,Lune,BO66Z,Wyre BC,SD34194862,Knott Spit,POLE,2019-01-14,2019-01-17,2019-01-18,ND,ND,ND,ND,ND,ND,ND,
39/19,The Wash,B003V,Boston BC,TF44234098,Toft,SURFACE,2019-01-21,2019-01-22,2019-01-23,ND,ND,ND,ND,ND,ND,ND,
40/19,Conwy,B044V,Conwy CBC,SH76317972,Conwy West,POLE,2019-01-21,2019-01-22,2019-01-23,ND,ND,ND,400,ND,ND,ND,
41/19,The Wash,B04AP,Kings Lynn & W Norfolk BC,TF65963701,Stubborn Sand,SURFACE,2019-01-21,2019-01-22,2019-01-23,ND,ND,ND,ND,ND,ND,ND,
42/19,Blackwater,B014V,Maldon DC,TL91160795,Goldhanger,SURFACE,2019-01-21,2019-01-22,2019-01-23,ND,ND,ND,ND,ND,ND,ND,
43/19,Holy Island-Ross Links,B001M,Northumberland CC,NU12333958,Ross Links,SURFACE,2019-01-21,2019-01-22,2019-01-23,ND,ND,ND,ND,ND,ND,ND,
44/19,Burry Inlet,B038I,City and Council of Swansea,SS50509590,South East 4,SURFACE,2019-01-22,2019-01-23,2019-01-24,ND,ND,ND,ND,ND,ND,ND,
45/19,Burry Inlet,B038L,City and Council of Swansea,SS43409470,Whitford Point,SURFACE,2019-01-22,2019-01-23,2019-01-24,ND,ND,ND,ND,ND,ND,ND,
46/19,Blackwater,B14AD,Maldon DC,TM04060768,St Peters Flats,SURFACE,2019-01-22,2019-01-23,2019-01-24,ND,ND,ND,ND,ND,ND,ND,
47/19,Crouch,B015Y,Maldon DC,TQ90429738,Althorne,SURFACE,2019-01-22,2019-01-23,2019-01-24,ND,ND,ND,ND,ND,ND,ND,
48/19,Dart,B028B,South Hams DC,SX87415599,Waddeton,POLE,2019-01-21,2019-01-24,2019-01-25,ND,100,ND,4000,ND,ND,ND,Additional flesh and water samples requested
49/19,Start Bay,B087J,South Hams DC,SX82504197,Off Torcross,SURFACE,2019-01-21,2019-01-24,2019-01-25,ND,ND,ND,2280,ND,ND,ND,
50/19,Blakeney,B006R,North Norfolk DC,TF91804549,Wells - The Pool,POLE,2019-01-24,2019-01-25,2019-01-28,ND,ND,ND,ND,ND,ND,ND,
51/19,Porthallow Cove,B34AA,Cornwall PHA,SW80212383,Porthallow Cove North,POLE,2019-01-28,2019-01-29,2019-01-30,ND,ND,ND,4880,ND,ND,ND,
52/19,Percuil,B033R,Cornwall PHA,SW85853369,Percuil,POLE,2019-01-29,2019-01-30,2019-01-31,ND,ND,ND,1640,ND,ND,ND,
53/19,Swansea,B037U,Swansea PHA,SS67659210,Queens Dock,POLE,2019-01-29,2019-01-30,2019-01-31,ND,ND,ND,ND,ND,ND,ND,
54/19,Lune,BO66Z,Wyre BC,SD34194862,Knott Spit,POLE,2019-01-28,2019-02-01,2019-02-04,ND,ND,ND,ND,ND,ND,ND,
56/19,Roach,B73AF,London PHA,TQ94909207,Paglesham,SURFACE,2019-02-04,2019-02-05,2019-02-06,ND,ND,ND,ND,ND,ND,ND,
57/19,Holy Island-Ross Links,B001M,Northumberland CC,NU12333958,Ross Links,SURFACE,2019-02-03,2019-02-05,2019-02-06,ND,ND,ND,ND,ND,ND,ND,
58/19,Anglesey - Red Wharf Bay,B057J,Ynys Mon CC,SH53148022,Nodwydd,POLE,2019-02-04,2019-02-05,2019-02-06,ND,ND,ND,1080,ND,ND,ND,
59/19,Burry Inlet,B038D,Carmarthenshire CC,SS50209860,Machynys,SURFACE,2019-02-05,2019-02-06,2019-02-07,ND,ND,ND,ND,ND,ND,ND,
60/19,Helford,B034W,Cornwall PHA,SW75462765,Porth Navas Quay,SURFACE,2019-02-05,2019-02-06,2019-02-07,ND,ND,ND,400,ND,ND,ND,
61/19,Blackwater,B014V,Maldon DC,TL91160795,Goldhanger,SURFACE,2019-02-05,2019-02-06,2019-02-07,ND,ND,ND,ND,ND,ND,ND,
62/19,Poole,B54CU,Poole BC,SZ09079041,Poole Coastal,POLE,2019-02-05,2019-02-06,2019-02-07,ND,ND,ND,ND,ND,ND,ND,
63/19,Poole,B54CL,Poole BC,SZ01818871,West Brownsea 1,POLE,2019-02-05,2019-02-06,2019-02-07,ND,ND,ND,ND,ND,ND,ND,
64/19,Langstone Harbour,B019I,Portsmouth PHA,SU70560339,Stoke Common Lake,POLE,2019-02-05,2019-02-06,2019-02-07,ND,ND,ND,ND,ND,ND,ND,
65/19,Solent,B24BK,Southampton PHA,SZ57479794,Browndown,POLE,2019-02-05,2019-02-06,2019-02-07,ND,ND,ND,ND,ND,ND,ND,
66/19,Southampton Water,B021Y,Southampton PHA,SU48760530,Hamble Estuary,POLE,2019-02-05,2019-02-06,2019-02-07,ND,ND,ND,80,ND,ND,ND,
67/19,The Fleet,B25AI,Weymouth PHA,SY66477627,Fleet Oysters,POLE,2019-02-05,2019-02-06,2019-02-07,ND,ND,ND,920,ND,ND,ND,
68/19,North Kent Coast,B17BS,Canterbury CC,TR10326689,WOCO Westbeach,POLE,2019-02-05,2019-02-07,2019-02-08,ND,ND,ND,ND,ND,ND,ND,
69/19,Blackwater,B14AD,Maldon DC,TM04060768,St Peters Flats,SURFACE,2019-02-06,2019-02-07,2019-02-08,ND,ND,ND,ND,ND,ND,ND,
70/19,Portsmouth Harbour,B020H,Portsmouth PHA,SU62850544,Paulsgrove,POLE,2019-02-06,2019-02-07,2019-02-08,ND,ND,ND,ND,ND,ND,ND,
71/19,Fowey,B70AB,Cornwall PHA,SX13025157,Pont Pill,POLE,2019-02-06,2019-02-08,2019-02-11,ND,ND,ND,3040,ND,ND,ND,
72/19,Lantivet Bay,B70AI,Cornwall PHA,SX16305094,Sandheap Point,POLE,2019-02-06,2019-02-08,2019-02-11,ND,ND,ND,4040,ND,ND,ND,
73/19,St Austell Bay,B70AE,Cornwall PHA,SX05744972,Ropehaven Outer,POLE,2019-02-06,2019-02-08,2019-02-11,ND,ND,ND,10920,ND,ND,ND,
74/19,Yealm,B031J,Plymouth PHA,SX54224904,Thorn,POLE,2019-02-06,2019-02-08,2019-02-11,ND,ND,ND,600,ND,ND,ND,
75/19,Porlock,B094D,West Somerset Council,SS87114787,Porlock East,POLE,2019-02-07,2019-02-08,2019-02-11,ND,ND,ND,ND,ND,ND,ND,
76/19,Menai Strait East,B055S,Gwynedd CC,SH58337328,West of Bangor Pier,SURFACE,2019-02-10,2019-02-12,2019-02-13,ND,ND,ND,160,ND,ND,ND,
77/19,Menai Strait West,B042O,Gwynedd CC,SH49916579,Area 11 East,SURFACE,2019-02-11,2019-02-12,2019-02-13,ND,ND,ND,680,ND,ND,ND,
78/19,Brancaster,B005F,Kings Lynn & W Norfolk BC,TF79884539,Loose J,SURFACE,2019-02-11,2019-02-12,2019-02-13,ND,ND,ND,ND,ND,ND,ND,
79/19,Deben,B010O,Suffolk Coastal DC,TM28834500,Stonner Point,POLE,2019-02-11,2019-02-12,2019-02-13,ND,ND,ND,ND,ND,ND,ND,
80/19,Conwy,B044V,Conwy CBC,SH76317972,Conwy West,POLE,2019-02-12,2019-02-13,2019-02-14,ND,ND,ND,ND,ND,ND,ND,
81/19,Fal,B033E,Cornwall PHA,SW85134212,Grimes Bar,POLE,2019-02-12,2019-02-13,2019-02-14,ND,ND,ND,1680,ND,ND,ND,
82/19,Fal,B33BG,Cornwall PHA,SW82803517,Mylor Pool,POLE,2019-02-12,2019-02-13,2019-02-14,ND,ND,ND,2440,ND,ND,ND,
