SampleId,SiteNumber,SiteLocation,SampleDate,Alexandrium_sp_PSP,Karenia_mikimotoi_PotentiallyToxicToFish,Protoperidinium_crassipes,PSP_Lingulodinium_polyedrum,Gyrodinium_aureolum_PotentiallyToxicToFish,Dinophysis_sp_P_lima_DSP,Pseudonitzschia_ASP,SampleMethod,Comments
51,1,Holy Island,2003-06-10,0,,,,,0,0,surface,
39,6,Wash teetotal,2003-06-05,0,,,,,0,0,surface,
40,6,Wash Gat,2003-06-05,0,,,,,0,0,surface,
41,6,Wash Butterwick,2003-06-05,0,,,,,0,0,surface,
44,6,Wash Butterwick,2003-06-09,0,,,,,0,0,surface,
45,6,Wash Daseleys,2003-06-09,0,,,,,0,0,surface,
46,6,Wash Gat,2003-06-09,0,,,,,0,0,surface,
43,9,Weymouth Inner,2003-06-06,A.minutum8622,,,,,0,0,surface,
50,9,Weymouth Inner,2003-06-11,0,,,,,0,0,surface,
47,19,Milford Lawrenny Q,2003-06-10,A.minutum14370,,,,,0,0,surface,
52,19,Milford Coedcanlas S,2003-06-10,0,,,,,0,0,surface,
48,34,North Kent Coast,2003-06-09,0,,,,,0,0,surface,
42,41,Mawddach,2003-06-04,0,,,,,0,0,surface,
49,64,River Dart,2003-06-03,0,,,,,0,0,surface,
35,7,Thames  Chapman S,2003-06-03,0,,,0,,0,0,tube,
36,12,Fal,2003-06-03,0,,,10,,0,40,tube,
32,13,Burry  D  Machynys,2003-06-02,0,,,0,,0,0,surface,
37,32,Morecambe Bay,2003-06-04,0,,,0,,0,0,surface,
33,34,North Kent Coast,2003-06-02,0,,,0,,0,0,surface,
31,38,Fowey,2003-06-02,0,,,0,,2,400,surface,
38,44,Dee,2003-06-04,0,,,0,,0,10,surface,
34,62,Plymouth,2003-06-02,0,,,0,,0,8,surface,
59,6,Wash Butterwick,2003-06-17,0,,,,0,0,0,surface,
60,6,Wash Gat,2003-06-17,0,,,,0,0,0,surface,
61,6,Wash Daseleys,2003-06-17,0,,,,0,0,0,surface,
56,13,Burry D Machynys,2003-06-16,0,,,,0,0,0,surface,
58,19,Milford Lawrenny Q,2003-06-16,0,,,,80,0,480,surface,
57,34,North Kent  Seasalter,2003-06-16,0,,,,0,0,0,surface,
53,38,Fowey,2003-06-11,0,,,,0,0,14370,surface,
54,47,Camel,2003-06-11,0,,,,0,0,0,surface,
63,53,Langstone Harbour,2003-06-18,0,,,,0,0,0,surface,
55,62,Plymouth,2003-06-16,0,,,,0,0,0,surface,
62,63,Salcombe,2003-06-17,1416860,,,,0,0,0,surface,
65,9,Weymouth Inner H,2003-06-16,0,,,0,0,0,0,surface,
70,12,Fal  Turnaware,2003-06-23,0,,,160,0,0,1040,tube,
72,13,Burry  Machynys  D,2003-06-23,0,,,0,,0,0,surface,
72,13,Burry  Machynys  D,2003-01-23,0,,,0,0,0,0,surface,
73,19,Milford Lawrenny Q,2003-06-24,80,,,0,0,0,0,surface,
74,19,Milford  Coedcanlas S,2003-06-24,200,,,0,0,0,0,surface,
,22,Colchester,,,,,,0,,,,
67,32,Morecambe Bay,2003-06-19,0,,,0,0,0,0,surface,
69,34,North Kent Coast,2003-06-23,0,,,0,0,0,0,surface,
64,42,Glaslyn,2003-06-18,0,,,0,,0,0,surface,
64,42,Glaslyn,2003-06-18,0,,,0,0,0,0,surface,
66,44,Dee,2003-06-19,0,,,0,0,0,0,surface,
71,47,Camel,2003-06-23,0,,,0,40,0,200,surface,
75,63,Salcombe,2003-06-24,739999,,,0,0,0,680,surface,
68,64,River Dart,2003-06-18,0,,,0,0,0,0,surface,
82,6,Wash  Gat,2003-07-01,0,0,0,,,2,0,surface,
83,6,Wash  Daseleys,2003-07-01,0,0,0,,,0,0,surface,
86,9,Weymouth I.H,2003-07-02,minutum 520,80,0,,,0,0,surface,
76,9,Weymouth I.H,2003-06-24,minutum 280,0,0,,,0,40,surface,
81,13,Burry  Machynys,2003-06-30,0,0,0,,,0,0,surface,
77,18,Blyth  Northumberland,2003-06-25,0,0,0,,,26,0,tube,
79,34,North Kent Coast,2003-06-30,0,0,0,,,0,0,surface,
85,38,Fowey,2003-07-01,200,3520,80,,,0,1320,surface,
84,47,Camel,2003-07-01,0,120,0,,,0,680,surface,
78,53,Langstone Harbour,2003-06-30,minutum 520,0,0,,,0,0,tube,
80,62,Plymouth,2003-06-30,0,0,0,,,0,2440,surface,
94,6,Wash  Gat,2003-07-07,0,0,,,,0,0,surface,
91,7,Thames  Chapman S,2003-07-06,0,0,,,,0,0,surface,
93,13,Burry  Machynys,2003-07-07,0,0,,,,0,0,surface,
88,32,Morecambe Bay,2003-07-03,0,0,,,,0,0,surface,
92,34,North Kent Coast,2003-07-07,0,0,,,,0,0,surface,
